id,text,date_time,impression_count,like_count,quote_count,reply_count,retweet_count,name,username,Month
1232105203,"@TheBridge_Tech Hola, estoy intentando entrar en la videoconferencia con vuestro enlace, pero no parece que funcione.",2023-01-18 17:11:05,22,0,0,0,0,Adrián Méndez,adriskou,2023-01
7154412,En plena meet-up de CPS en @TheBridge_Tech con @ddamasd https://t.co/MkhnOh2Mzw,2023-01-18 18:06:30,6600,35,1,2,5,Javier G. Recuenco,Recuenco,2023-01
1610073819791728640,@Recuenco @TheBridge_Tech @ddamasd Qué suerte !!,2023-01-18 18:15:04,179,2,0,0,0,J,jnlpz22,2023-01
212364786,Mira las rectas en el techo de las fotos de @modaquetepario y de @Recuenco. Puede que el máster de #CPS ayude a encontrar la forma de convertir las luminarias del techo de @TheBridge_Tech en #Madrid en la sede de la oficina donde está @modaquetepario https://t.co/ba848HlgZs,2023-01-18 18:23:30,273,2,0,0,0,Gonzalo Osés,designetworking,2023-01
17287251,@Recuenco @TheBridge_Tech @ddamasd Es tu master? Otra cosa?,2023-01-18 18:48:45,612,1,0,2,0,María Blanco #Putin Иди домой.,Godivaciones,2023-01
141272779,@Godivaciones @Recuenco @TheBridge_Tech @ddamasd Meetup,2023-01-18 18:59:29,138,1,0,1,0,aebm,ae_bm,2023-01
417307513,@Godivaciones @Recuenco @TheBridge_Tech @ddamasd Una charla de Diana en el marco de la comunidad CPS. Abierto a quien le apetezca ir,2023-01-18 19:01:43,102,2,0,0,0,Popmart,Popmart_u2,2023-01
17287251,@ae_bm @Recuenco @TheBridge_Tech @ddamasd Ya. Pregunto si está integrado en su máster (en colaboración con The Bridge) o es otra cosa distinta. Pero ahora creo recordar que el master CPS es online estricto.,2023-01-18 19:16:40,136,2,0,1,0,María Blanco #Putin Иди домой.,Godivaciones,2023-01
141272779,@Godivaciones @Recuenco @TheBridge_Tech @ddamasd creo que son independientes y el lugar del meetup puede variar,2023-01-18 19:23:29,150,2,0,1,0,aebm,ae_bm,2023-01
7154412,"@ae_bm @Godivaciones @TheBridge_Tech @ddamasd Eso es. Y está abierto a toda la comunidad, no hace falta que sean alumnos.",2023-01-18 20:07:26,224,1,0,2,0,Javier G. Recuenco,Recuenco,2023-01
17287251,@Recuenco @ae_bm @TheBridge_Tech @ddamasd ✌️,2023-01-18 20:14:43,75,1,0,0,0,María Blanco #Putin Иди домой.,Godivaciones,2023-01
17287251,"@Recuenco @ae_bm @TheBridge_Tech @ddamasd Una cosa, puede ir cualquiera-cualquiera? Porque se debe anunciar en algún sitio, y no sé quiénes son “la comunidad”. Los de las afueras de la comunidad cabemos? (Para cuando pueda…).",2023-01-18 20:25:09,282,3,0,2,0,María Blanco #Putin Иди домой.,Godivaciones,2023-01
7154412,@Godivaciones @ae_bm @TheBridge_Tech @ddamasd Habla con @PauMugarra .,2023-01-18 20:34:31,181,2,0,1,0,Javier G. Recuenco,Recuenco,2023-01
866742930,"@Recuenco @Godivaciones @ae_bm @TheBridge_Tech @ddamasd @PauMugarra Sobreentiendo que se refieren a este https://t.co/QJdYaEsjyF

Meetup, es una App de gente que organiza quedadas temáticas. La mayor parte de gente no se conoce a priori, puede ser de cualquier tema, está en todo el mundo.

Ahora quiero también saber yo si es otra cosa.",2023-01-18 21:31:09,128,3,0,2,0,Víctor 📖🐁,nudpiedo,2023-01
7154412,@nudpiedo @Godivaciones @ae_bm @TheBridge_Tech @ddamasd @PauMugarra Es una reunión física de la comunidad CPS que gestiona @PauMugarra,2023-01-18 21:45:55,159,4,0,0,1,Javier G. Recuenco,Recuenco,2023-01
1003872445,@nudpiedo @Recuenco @Godivaciones @ae_bm @TheBridge_Tech @ddamasd Gracias por esta aclaración Víctor.,2023-01-19 09:51:54,34,2,0,0,0,Pau Mugarra,PauMugarra,2023-01
1003872445,"@Godivaciones @Recuenco @ae_bm @TheBridge_Tech @ddamasd ¡Hola María!
Esto es una comunidad abierta y puede venir quien quiera. Solemos anunciar estos eventos en Twitter y en LinkedIn. Si quieres que te lleguen avisos al correo de cuando publicamos un evento, te puedes apuntar al grupo aquí: https://t.co/X4OS5LzTk9",2023-01-19 09:54:51,861,4,0,0,3,Pau Mugarra,PauMugarra,2023-01
91876265,Un buen resumen de mi charla de ayer sobre vulnerabilidades en el proceso de #CPS en @TheBridge_Tech. https://t.co/fuv2COGgIB,2023-01-19 13:45:11,251,5,0,0,2,Diana Damas (ella/she),ddamasd,2023-01
